id2,id1,file,even,pairID,dont_send,sent
718,158,158.pdf,TRUE,0,FALSE,TRUE
158,718,718.pdf,FALSE,0,FALSE,TRUE
834,497,497.pdf,FALSE,1,FALSE,TRUE
497,834,834.html,TRUE,1,FALSE,TRUE
616,208,208.pdf,FALSE,2,FALSE,TRUE
208,616,616.pdf,TRUE,2,FALSE,TRUE
907,81,081.pdf,FALSE,3,FALSE,TRUE
81,907,907.pdf,TRUE,3,FALSE,TRUE
914,349,349.pdf,TRUE,4,FALSE,TRUE
349,914,914.pdf,FALSE,4,FALSE,TRUE
782,532,532.docx,TRUE,5,FALSE,TRUE
532,782,782.pdf,FALSE,5,FALSE,TRUE
881,169,169.docx,TRUE,6,FALSE,TRUE
169,881,881.pdf,FALSE,6,FALSE,TRUE
770,322,322.docx,FALSE,7,FALSE,TRUE
322,770,770.pdf,TRUE,7,FALSE,TRUE
995,815,815.docx,FALSE,8,FALSE,TRUE
815,995,995.docx,TRUE,8,FALSE,TRUE
598,212,212.docx,TRUE,9,FALSE,TRUE
212,598,598.docx,FALSE,9,FALSE,TRUE
919,619,619.docx,FALSE,10,FALSE,TRUE
619,919,919.docx,TRUE,10,FALSE,TRUE
795,761,761.pdf,TRUE,11,FALSE,TRUE
761,795,795.docx,FALSE,11,FALSE,TRUE
135,94,094.pdf,FALSE,12,FALSE,TRUE
94,135,135.pdf,TRUE,12,FALSE,TRUE
872,813,813.pdf,TRUE,13,FALSE,TRUE
813,872,872.pdf,FALSE,13,FALSE,TRUE
591,52,052.pdf,TRUE,14,FALSE,TRUE
52,591,591.docx,FALSE,14,FALSE,TRUE
788,363,363.pdf,TRUE,15,FALSE,TRUE
363,788,788.pdf,FALSE,15,FALSE,TRUE
89490,395,395.docx,FALSE,16,FALSE,TRUE
395,89490,89490.pdf,TRUE,16,FALSE,TRUE
31261,209,209.pdf,TRUE,17,FALSE,TRUE
209,31261,31261.docx,FALSE,17,FALSE,TRUE
559,107,107.pdf,TRUE,18,FALSE,TRUE
107,559,559.docx,FALSE,18,FALSE,TRUE
708,642,642.pdf,TRUE,19,FALSE,TRUE
642,708,708.docx,FALSE,19,FALSE,TRUE
558,546,546.html,FALSE,20,FALSE,TRUE
546,558,558.pdf,TRUE,20,FALSE,TRUE
279,15,015.docx,FALSE,21,FALSE,TRUE
15,279,279.docx,TRUE,21,FALSE,TRUE
821,562,562.pdf,FALSE,22,FALSE,TRUE
562,821,821.docx,TRUE,22,FALSE,TRUE
224,204,204.docx,FALSE,23,FALSE,TRUE
204,224,224.pdf,TRUE,23,FALSE,TRUE
509,48,048.docx,FALSE,24,FALSE,TRUE
48,509,509.docx,TRUE,24,FALSE,TRUE
567,136,136.docx,TRUE,25,FALSE,TRUE
136,567,567.pdf,FALSE,25,FALSE,TRUE
387,250,250.docx,TRUE,26,FALSE,TRUE
250,387,387.docx,FALSE,26,FALSE,TRUE
775,144,144.pdf,FALSE,27,FALSE,TRUE
144,775,775.pdf,TRUE,27,FALSE,TRUE
861,386,386.docx,TRUE,28,FALSE,TRUE
386,861,861.docx,FALSE,28,FALSE,TRUE
998,239,239.pdf,TRUE,29,FALSE,TRUE
239,998,998.pdf,FALSE,29,FALSE,TRUE
923,162,162.pdf,TRUE,30,FALSE,TRUE
162,923,923.docx,FALSE,30,FALSE,TRUE
91324,784,784.pdf,FALSE,31,FALSE,TRUE
784,91324,91324.pdf,TRUE,31,FALSE,TRUE
432,293,293.docx,TRUE,32,FALSE,TRUE
293,432,432.docx,FALSE,32,FALSE,TRUE
494,417,417.pdf,FALSE,33,FALSE,TRUE
417,494,494.pdf,TRUE,33,FALSE,TRUE
373,61,061.pdf,FALSE,34,FALSE,TRUE
61,373,373.docx,TRUE,34,FALSE,TRUE
871,69,069.pdf,FALSE,35,FALSE,TRUE
